lat,long,unitdesc
-122.33787064301296,47.606478381152854,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST
-122.34046773558318,47.60931759493873,1ST AVE BETWEEN PIKE ST AND PINE ST
-122.3341949786831,47.591353940830345,1ST AVE S BETWEEN S ROYAL BROUGHAM WAY AND S ATLANTIC ST
-122.35804858630388,47.62036281564722,1ST AVE W BETWEEN W JOHN ST AND W THOMAS ST
-122.31816885091811,47.61583839953286,11TH AVE BETWEEN E PINE ST AND E OLIVE ST
-122.31678461999701,47.61349650234246,12TH AVE BETWEEN E MADISON ST AND E PIKE ST
-122.31545356019441,47.60863729449538,13TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST
-122.31195155610017,47.663988229127824,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST
-122.3115557519424,47.60526109700733,16TH AVE BETWEEN E ALDER W ST AND E JEFFERSON ST
-122.37888427950476,47.668671031296576,17TH AVE NW BETWEEN NW 54TH ST AND NW MARKET ST
-122.33225147289497,47.602012152833225,2ND AVE BETWEEN YESLER WAY AND JAMES ST
-122.33844952670609,47.60878865387822,2ND AVE BETWEEN UNION ST AND PIKE ST
-122.35022363426603,47.616742649889396,2ND AVE BETWEEN CEDAR ST AND CLAY ST
-122.35933207315207,47.623285703740684,2ND AVE W BETWEEN W HARRISON ST AND W REPUBLICAN ST
-122.38474259111419,47.66981863638924,22ND AVE NW BETWEEN NW 56TH ST AND NW 57TH ST
-122.33140852763836,47.60276917577048,3RD AVE BETWEEN YESLER WAY AND JAMES ST
-122.34219270594774,47.61316683226384,3RD AVE BETWEEN VIRGINIA ST AND LENORA ST
-122.29540487754988,47.71898886400483,31ST AVE NE BETWEEN NE 123RD ST AND LAKE CITY WAY NE
-122.28614025061557,47.55704500963138,37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST
-122.2834674617875,47.55824747484783,39TH AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST
-122.33938266283675,47.612678234308646,4TH AVE BETWEEN STEWART ST AND VIRGINIA ST
-122.34328424982706,47.614984657414354,4TH AVE BETWEEN BLANCHARD ST AND BELL ST
-122.38283502750383,47.5601706875361,40TH AVE SW BETWEEN SW ALASKA ST AND SW EDMUNDS ST
-122.33212470204379,47.606909527887346,5TH AVE BETWEEN MADISON ST AND SPRING ST
-122.32768335919347,47.59579404715565,5TH AVE S BETWEEN S WELLER ST AND S DEARBORN ST
-122.32971253971664,47.60594577619512,6TH AVE BETWEEN COLUMBIA ST AND MARION ST
-122.33491845363586,47.61163942799041,6TH AVE BETWEEN PIKE ST AND PINE ST
-122.3449399547905,47.62671114746567,6TH AVE N BETWEEN VALLEY ST AND ALOHA ST
-122.34005494547044,47.61659465432075,7TH AVE BETWEEN LENORA ST AND BLANCHARD ST
-122.32375190282221,47.59876921836752,7TH AVE S BETWEEN S JACKSON ST AND S KING ST
-122.32814460007145,47.60758776599742,8TH AVE BETWEEN MARION ST AND MADISON ST
-122.33406083228643,47.61405656107803,8TH AVE BETWEEN PINE ST AND OLIVE WAY
-122.33937575025887,47.61853819125181,9TH AVE BETWEEN WESTLAKE AVE AND DENNY WAY
-122.3394317618201,47.6048330689636,ALASKAN WAY BETWEEN SPRING ST AND SENECA ST
-122.33838458841021,47.604287886053996,ALASKAN E RDWY WAY BETWEEN MADISON ST AND SPRING ST
-122.32168526711988,47.60387713244881,ALDER ST BETWEEN 9TH AVE AND TERRY AVE
-122.38031059558293,47.6639568063107,BALLARD AVE NW BETWEEN NW BALLARD WAY AND NW 48TH ST
-122.34264466379886,47.61636559077721,BELL ST BETWEEN 5TH AVE AND 6TH AVE
-122.32180983566393,47.61073022688095,BOYLSTON AVE BETWEEN MARION ST AND MADISON ST
-122.32076019874846,47.6111690760723,BROADWAY BETWEEN MARION ST AND MADISON ST
-122.32078950996885,47.61465548875948,BROADWAY BETWEEN E PIKE ST AND E PINE ST
-122.3209061781254,47.62198807183981,BROADWAY E BETWEEN E THOMAS ST AND E HARRISON ST
-122.31434385806499,47.65906879858623,BROOKLYN AVE NE BETWEEN NE 42ND ST AND NE 43RD ST
-122.3868039905746,47.56021561312934,CALIFORNIA AVE SW BETWEEN SW ALASKA ST AND ERSKINE WAY SW
-122.34846854866842,47.61746322783511,CEDAR ST BETWEEN 3RD AVE AND 4TH AVE
-122.33150715439788,47.603716164832036,CHERRY ST BETWEEN 3RD AVE AND 4TH AVE
-122.35197958907631,47.61602148577271,CLAY ST BETWEEN WESTERN AVE AND 1ST AVE
-122.32661092316845,47.60675011117139,COLUMBIA ST BETWEEN 8TH AVE AND 9TH AVE
-122.33532065977693,47.61852163430016,DENNY WAY BETWEEN BOREN AVE N AND BOREN AVE
-122.34233049501285,47.62669993324077,DEXTER AVE N BETWEEN VALLEY ST AND ALOHA ST
-122.3542601628588,47.61736679509177,EAGLE ST BETWEEN WESTERN AVE AND 1ST AVE
-122.32916667942162,47.6251205181807,EASTLAKE AVE E BETWEEN MERCER ST AND LAKEVIEW BLVD E
-122.33425791280646,47.61909104585704,FAIRVIEW AVE N BETWEEN DENNY WAY AND JOHN ST
-122.335060802638,47.62201555303242,HARRISON ST BETWEEN BOREN AVE N AND FAIRVIEW AVE N
-122.32927264823086,47.61783562912876,HOWELL ST BETWEEN YALE AVE AND EASTLAKE AVE
-122.33251943988907,47.602305601356555,JAMES ST BETWEEN YESLER WAY AND 2ND AVE
-122.32909013626835,47.60275228517064,JEFFERSON ST BETWEEN 4TH AVE AND 5TH AVE
-122.3534841176886,47.6197611470669,JOHN ST BETWEEN WARREN AVE N AND 2ND AVE N
-122.33169660999488,47.61966535382025,JOHN ST BETWEEN MINOR AVE N AND PONTIUS E AVE N
-122.29319374600409,47.72289906588297,LAKE CITY WAY NE BETWEEN NE 127TH ST AND NE 130TH ST
-122.3808565302823,47.66559206763454,LEARY AVE NW BETWEEN NW DOCK PL AND NW IONE PL
